time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10000.00000000,34.57721312,35.46268872,35.57235208,36.48259417,34.72281022,34.33758349,34.63868150,34.20192674,35.31567701,34.95667088,34.13129057,34.56285299,34.28816040,34.57721312,35.46268872,35.57235208,36.48259417,34.72281022,34.33758349,34.63868150,34.20192674,35.31567701,34.95667088,34.13129057,34.56285299,34.28816040
10031.00000000,34.65316325,35.58323430,35.69539698,36.61178683,34.83810571,34.42558266,34.75601723,34.28126119,35.44655410,35.08547834,34.21057005,34.68375904,34.39811989,34.65316325,35.58323430,35.69539698,36.61178683,34.83810571,34.42558266,34.75601723,34.28126119,35.44655410,35.08547834,34.21057005,34.68375904,34.39811989
10060.00000000,34.77360433,35.79116736,35.90978972,36.85076049,35.02874699,34.56354603,34.95151706,34.40640541,35.67825945,35.30896002,34.33469690,34.88608339,34.57576539,34.77360433,35.79116736,35.90978972,36.85076049,35.02874699,34.56354603,34.95151706,34.40640541,35.67825945,35.30896002,34.33469690,34.88608339,34.57576539
10091.00000000,34.91514654,36.05715946,36.18681100,37.17980934,35.26043877,34.72225215,35.19189304,34.55184780,35.98435402,35.59751911,34.47755497,35.13589289,34.78714277,34.91514654,36.05715946,36.18681100,37.17980934,35.26043877,34.72225215,35.19189304,34.55184780,35.98435402,35.59751911,34.47755497,35.13589289,34.78714277
10121.00000000,35.02749186,36.29134191,36.43354633,37.49648574,35.45126916,34.84426764,35.39364006,34.66563813,36.26499428,35.85494001,34.58836247,35.34777565,34.95778410,35.02749186,36.29134191,36.43354633,37.49648574,35.45126916,34.84426764,35.39364006,34.66563813,36.26499428,35.85494001,34.58836247,35.34777565,34.95778410
10152.00000000,35.08447472,36.44439560,36.59863655,37.74247810,35.55661640,34.89963239,35.51026276,34.72016430,36.46271662,36.02603877,34.63974118,35.47327241,35.04710692,35.08447472,36.44439560,36.59863655,37.74247810,35.55661640,34.89963239,35.51026276,34.72016430,36.46271662,36.02603877,34.63974118,35.47327241,35.04710692
10182.00000000,35.06603585,36.46727231,36.62960135,37.84458180,35.54033352,34.86805801,35.50237307,34.69579986,36.51527580,36.05557075,34.61309720,35.46842859,35.02236127,35.06603585,36.46727231,36.62960135,37.84458180,35.54033352,34.86805801,35.50237307,34.69579986,36.51527580,36.05557075,34.61309720,35.46842859,35.02236127
10213.00000000,34.97520737,36.35460750,36.51958440,37.78492792,35.40322370,34.75442910,35.36895308,34.59605499,36.41090673,35.93545233,34.51262719,35.33397838,34.88902727,34.97520737,36.35460750,36.51958440,37.78492792,35.40322370,34.75442910,35.36895308,34.59605499,36.41090673,35.93545233,34.51262719,35.33397838,34.88902727
10244.00000000,34.83860389,36.13925314,36.30076976,37.58369193,35.18426455,34.59145392,35.14796643,34.44973844,36.18020087,35.70046077,34.36766868,35.11023748,34.68716715,34.83860389,36.13925314,36.30076976,37.58369193,35.18426455,34.59145392,35.14796643,34.44973844,36.18020087,35.70046077,34.36766868,35.11023748,34.68716715
10274.00000000,34.69700560,35.88793423,36.04139063,37.30889248,34.94870390,34.42671530,34.90570349,34.29981568,35.89588954,35.42307682,34.22052699,34.86369407,34.47602840,34.69700560,35.88793423,36.04139063,37.30889248,34.94870390,34.42671530,34.90570349,34.29981568,35.89588954,35.42307682,34.22052699,34.86369407,34.47602840
